exID,pairID,responseID,ground_truth,response3,reported_difficulty
126,533,406,Non-mates,2,2
26,533,407,Non-mates,2,4
129,533,408,Non-mates,1,NA
131,533,409,Non-mates,2,4
63,533,410,Non-mates,1,NA
33,533,411,Non-mates,1,2
9,533,412,Non-mates,2,2
66,533,413,Non-mates,1,2
67,533,414,Non-mates,1,NA
139,533,415,Non-mates,2,4
143,533,416,Non-mates,NA,NA
165,533,417,Non-mates,2,NA
166,533,418,Non-mates,1,NA
49,533,419,Non-mates,2,2
130,188,420,Mates,2,NA
64,188,421,Mates,NA,NA
95,188,422,Mates,NA,NA
146,188,423,Mates,NA,NA
21,188,424,Mates,NA,NA
169,188,425,Mates,NA,NA
129,188,426,Mates,NA,NA
153,188,427,Mates,NA,NA
32,188,428,Mates,2,NA
33,188,429,Mates,NA,NA
108,188,430,Mates,NA,NA
90,188,431,Mates,NA,NA
110,188,432,Mates,1,5
11,188,433,Mates,NA,NA
66,188,434,Mates,NA,NA
137,188,435,Mates,NA,NA
36,188,436,Mates,NA,NA
13,188,437,Mates,NA,NA
115,188,438,Mates,NA,NA
139,188,439,Mates,2,NA
74,188,440,Mates,NA,NA
118,188,441,Mates,2,NA
18,188,442,Mates,NA,NA
94,188,443,Mates,NA,NA
97,188,444,Mates,NA,NA
148,188,445,Mates,NA,NA
102,714,446,Non-mates,1,4
140,714,447,Non-mates,NA,NA
40,714,448,Non-mates,NA,NA
117,714,449,Non-mates,1,2
41,714,450,Non-mates,1,4
45,714,451,Non-mates,NA,NA
17,714,452,Non-mates,NA,NA
95,714,453,Non-mates,NA,NA
21,714,454,Non-mates,2,NA
51,714,455,Non-mates,NA,NA
77,714,456,Non-mates,NA,NA
150,714,457,Non-mates,1,1
169,714,458,Non-mates,NA,NA
128,714,459,Non-mates,1,NA
86,714,460,Non-mates,1,4
132,714,461,Non-mates,1,4
157,714,462,Non-mates,1,NA
12,714,463,Non-mates,1,4
69,714,464,Non-mates,NA,NA
116,714,465,Non-mates,1,2
144,714,466,Non-mates,2,NA
119,714,467,Non-mates,NA,NA
120,714,468,Non-mates,1,NA
47,714,469,Non-mates,2,NA
121,714,470,Non-mates,NA,NA
99,714,471,Non-mates,2,NA
89,264,472,Mates,2,2
39,264,473,Mates,2,2
72,264,474,Mates,2,2
145,264,475,Mates,2,NA
95,264,476,Mates,2,NA
169,264,477,Mates,2,NA
1,264,478,Mates,1,NA
26,264,479,Mates,2,NA
27,264,480,Mates,2,1
103,264,481,Mates,2,2
29,264,482,Mates,2,2
60,264,483,Mates,2,2
62,264,484,Mates,2,2
131,264,485,Mates,2,5
63,264,486,Mates,2,NA
155,264,487,Mates,2,4
67,264,488,Mates,2,2
111,264,489,Mates,2,1
92,264,490,Mates,2,4
13,264,491,Mates,2,2
15,264,492,Mates,2,NA
160,264,493,Mates,2,NA
143,264,494,Mates,2,2
75,264,495,Mates,1,2
93,264,496,Mates,2,2
76,264,497,Mates,2,NA
49,264,498,Mates,2,1
