exID,pairID,responseID,ground_truth,response3,response5
22,54,999,Mated,3,5
22,12,1000,Mated,2,3
22,42,1001,Mated,3,5
22,49,1002,Nonmated,2,2
22,55,1003,Nonmated,1,1
22,51,1004,Nonmated,1,1
22,53,1005,Nonmated,2,3
22,50,1006,Mated,2,3
22,2,1007,Mated,2,3
22,25,1008,Nonmated,1,1
22,11,1009,Nonmated,1,1
22,21,1010,Nonmated,2,2
22,32,1011,Mated,3,5
22,34,1012,Mated,3,5
22,22,1013,Mated,2,3
22,44,1014,Mated,2,3
22,20,1015,Mated,3,5
22,58,1016,Mated,3,5
22,35,1017,Nonmated,1,1
22,5,1018,Nonmated,1,1
22,6,1019,Mated,2,3
22,24,1020,Mated,2,3
22,10,1021,Mated,2,3
22,48,1022,Mated,2,3
2,43,1023,Nonmated,3,5
9,7,1024,Nonmated,2,3
9,14,1025,Mated,1,1
9,40,1026,Mated,2,3
9,8,1027,Mated,3,5
9,25,1028,Nonmated,2,3
9,47,1029,Nonmated,1,1
9,13,1030,Nonmated,2,3
